nid	v	maxdeg	max_ratio	argmax_alpha
v20CCCACACACCACACACACACACACACACACACADEE	20	6	2.44291426750792e-07	21.872676300000002
v20CCCACACACCACACACACCACACACAACAACACAAE	20	6	2.7420355459504513e-07	21.872676300000002
v20CCCACACACCACACACACCACACACAACACACAAAE	20	6	2.643759168515205e-07	21.872676300000002
v20CCCACACCAACACACCAACACACCAACACACCAABE	20	6	4.6096236003711334e-07	2.1000000000000014
v20CCCACACCACACACACACACACACACACACACAAAE	20	6	2.853067747713357e-07	21.872676300000002
v20CCCACACCACACACACCAACACACACCAACACAAAE	20	6	6.08880339142784e-07	21.872676300000002
v20CCCACCACACCACAACACACCACAACACACACAABE	20	6	1.5709776776644263e-07	21.872676300000002
v20CCCACCACACCACACAACACCACACAACACAACAAE	20	6	9.975532590015079e-08	43.466993469328585
v20CCCACCACACCACACDEACCACACAACCACACAAAE	20	6	2.537095358908462e-07	2.1000000000000014
v20CCCACCACCACACACCACACCACACACAACAAAABE	20	6	5.820977317070131e-07	21.872676300000002
v20CCCACCACCACCACACACACCACACCAAACAADBEE	20	6	3.4995413655742095e-07	21.872676300000002
v20CCCACCCACCACCACAACCAACCAACCAAACAAAAE	20	6	3.512715402320007e-07	43.466993469328585
v20CCCACCCACCACCACAACCACACAACACAACAADEE	20	6	2.7146792696760547e-07	43.466993469328585
v20CCCACCCACCACCACAACCACACDECACAAACADEE	20	6	2.2469788296220017e-07	21.872676300000002
v20CCCACCCACCACCACACACACACAACACAAACADEE	20	6	3.011755993848622e-07	2.1000000000000014
v20CCCCACCACACACACACACACACACACACAACAAAE	20	6	1.2469221233201255e-07	21.872676300000002
v20CCCCACCACACACACACCAACACACACACAACAAAE	20	6	1.4887057902744894e-07	21.872676300000002
v20CCCCACCACACACACACCACACACACAACAACAAAE	20	6	2.2401628388174095e-07	21.872676300000002
v20CCCCACCACACACACACCACACACACAACACAAABE	20	6	4.6545179405251384e-07	21.872676300000002
v20CCCCACCACACACCACACACACAACACACAACAAAE	20	6	1.7367899688508687e-07	21.872676300000002
v20CCCCACCACACACCACACACACAACCAACACAAABE	20	6	1.7508946997835296e-07	43.466993469328585
v20CCCCACCACACACCACACACACACACAACAACAAAE	20	6	1.3792505768985517e-07	43.466993469328585
v20CCCCACCACACACCACACACACACACAACACAAABE	20	6	1.4000519073324587e-07	43.466993469328585
v20CCCCACCACACACCACACCACACACACAAABCAAAE	20	6	1.4839597379178356e-07	43.466993469328585
v20CCCCACCACACACCACACCACACACACAAACAAAAE	20	6	2.593923731819965e-07	49.112965600533286
v20CCCCACCACACCACACACACACACAACACAACAAAE	20	6	1.8279341018565066e-07	21.872676300000002
v20CCCCACCACACCACACACACACACACAACACAAABE	20	6	1.9201841925547128e-07	43.466993469328585
v20CCCCACCACACCACACACCACACACAACAACAAAAE	20	6	1.353753201143973e-07	43.466993469328585
v20CCCCACCACCACACCACACACACAACACAAACAAAE	20	6	9.522354090263241e-08	55.27909663310495
v20CCCCACCACCACACCACACCAACAACACAAACAAAE	20	6	2.4309277549931226e-07	43.466993469328585
v21CCCACACACACACACACACACACACACACACACACAAE	21	6	3.341546903544787e-07	2.1000000000000014
v21CCCACACACCAACACACCAACACACCAACACACCAABE	21	6	9.919961920838132e-07	2.1000000000000014
v21CCCACACACCACACAACCACACAACCACACAACACAAE	21	6	4.058107667843162e-07	21.872676300000002
v21CCCACACACCACACACACCACACACAACACACACAAAE	21	6	3.6281331478093617e-07	21.872676300000002
v21CCCACACACCACACACACCACACACACAACACACAAAE	21	6	1.476624203999506e-07	43.466993469328585
v21CCCACACACCACACACACCACACACACAACACACADEE	21	6	1.4275908878784855e-07	55.27909663310495
v21CCCACACCACCACACAACACCACACAACACACACAAAE	21	6	1.7512286807014706e-07	21.872676300000002
v21CCCACACCACCACACACCACAACACACACCACAABABE	21	6	1.151448663719509e-06	21.872676300000002
v21CCCACCACACCACAACACACCACAACACACCACAADEE	21	6	1.314705233686334e-07	43.466993469328585
v21CCCACCACACCACACAACACCACACAACACACACAAAE	21	6	1.503216648050934e-07	21.872676300000002
