nid	v	max_rel	argmax_alpha	hero_abs	nrungs
v19CCCACACCACACACACACACACACACAACACAAE	19	8.106625688743874e-08	43.466993469328585	4.440892098500626e-16	10
v19CCCACACCACACACACCAACACACACAACACAAE	19	4.5171261578978315e-08	21.872676300000002	6.661338147750939e-16	10
v19CCCACACCACACACACCAACACACACCAACADEE	19	6.350629206076516e-08	21.872676300000002	1.3322676295501878e-15	10
v19CCCACACCACCACACACACACCACAACAACAABE	19	1.1777618972597723e-07	43.466993469328585	8.881784197001252e-16	10
v19CCCACCACACCACACAACACCACACAACACAAAE	19	4.3558290942657784e-08	55.27909663310495	8.881784197001252e-16	10
v19CCCACCACACCACACACACACCACAACACAAABE	19	7.961937997470987e-08	21.872676300000002	4.440892098500626e-16	10
v19CCCACCACCACACACCACACCACACACAADEDEE	19	8.556339610298559e-08	21.872676300000002	1.3322676295501878e-15	10
v19CCCACCACCACCACACACACACACCAAACAADEE	19	1.1130598314692723e-07	43.466993469328585	4.440892098500626e-16	10
v19CCCACCCACCACCACACACACAACAACAACAAAE	19	6.543435986166299e-08	21.872676300000002	8.881784197001252e-16	10
v19CCCCACCACACACACACACACACACACAACAAAE	19	4.812202286754422e-08	49.112965600533286	6.661338147750939e-16	10
v19CCCCACCACACACACACCACACACACAACAAAAE	19	8.555540847203469e-08	55.27909663310495	4.440892098500626e-16	10
v19CCCCACCACACACCACACACACAACACAACAAAE	19	5.836331101637701e-08	55.27909663310495	4.440892098500626e-16	10
v19CCCCACCACACACCACACACACACACAAACAAAE	19	5.702006355995852e-08	55.27909663310495	4.440892098500626e-16	10
v19CCCCACCACACCACACACACACACAACAACAAAE	19	5.539512149640355e-08	55.27909663310495	6.661338147750939e-16	10
v19CCCCACCACACCACACACACACACAACACAAABE	19	6.605908668190183e-08	55.27909663310495	6.661338147750939e-16	10
v200h135a0caf146869c8	200	0.5177244067648363	2.1000000000000014	7.993605777301127e-15	1
v202hb84cee6a728cdd59	202	0.739543664910668	2.1000000000000014	4.440892098500626e-15	1
v202hd5d3d1cdcaa902c7	202	0.6449599202424531	2.1000000000000014	6.661338147750939e-15	1
v20CCACCCACCACACCACCACACCACACABCADEADEE	20	6.498226377201616e-08	43.466993469328585	2.220446049250313e-16	10
v20CCCACACACACACACACACACACACACACACACAAE	20	9.024673466767735e-08	43.466993469328585	9.992007221626409e-16	10
v20CCCACACACCAACACACCAACACACCAACACACAAE	20	1.565282218916661e-07	43.466993469328585	1.2212453270876722e-15	10
v20CCCACACACCACACACACACACACACACACACAAAE	20	4.8713716954701314e-08	55.27909663310495	6.661338147750939e-16	10
